Kareumbi Masigit,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,2:30
Situs Bumi Alit Kabuyutan,8:00,8:00,8:00,8:00,8:00,8:00,8:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,
Kolam Renang Priangan Tirta,8:00,8:00,8:00,8:00,8:00,8:00,8:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,2:00
Curug Cilengkrang,6:00,6:00,6:00,6:00,6:00,6:00,6:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,
Wisata Batu Kuda,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,
Puncak Bintang Bukit Moko,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,
Tebing Keraton,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,2:00
Kolam Renang Tirta Riang,8:00,8:00,8:00,8:00,8:00,8:00,8:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,2:00
Danau Ciharus,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,1:00
Kawah Kamojang,8:00,8:00,8:00,8:00,8:00,8:00,8:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,3:00
Situ Cisanti,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,2:00
Kolam Renang Tirta Nadi,7:00,7:00,7:00,7:00,7:00,7:00,7:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,2:00
Tamada Outbound,7:30,7:30,7:30,7:30,7:30,7:30,7:30,17:00,17:00,17:00,17:00,17:00,17:00,17:00,3:30
Pemandian Air Panas Cibolang,7:00,7:00,7:00,7:00,7:00,7:00,7:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,1:00
Rafting Bandung Gravity Adventure,8:00,8:00,8:00,8:00,8:00,8:00,8:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,2:00
Ranca Saladah Waterboom,8:00,8:00,8:00,8:00,8:00,8:00,8:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,2:00
Curug Cipanji,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,0:30
Bale Bambu Adventure,7:00,7:00,7:00,7:00,7:00,7:00,7:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,3:00
Desa Wisata Lebakmuncang,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,3:00
Pusat Penelitian Teh dan Kina Gambung,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,2:00
Kawah Putih,7:30,7:30,7:30,7:30,7:30,-,-,15:30,15:30,15:30,15:30,15:30,-,-,0:30
Ranca Upas Smart Camp Adventure,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,3:30
Situ Patenggang,8:00,8:00,8:00,8:00,8:00,8:00,8:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,2:00
Green Hill Park Ciwidey,9:00,9:00,9:00,9:00,9:00,9:00,9:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,3:00
Kawah Rengganis,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,1:30
Ciwidey Valley Resort,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,1:00
Geology Museum,8:00,8:00,8:00,8:00,-,8:00,8:00,16:00,16:00,16:00,16:00,-,14:00,14:00,2:00
Masjid Agung Bandung,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,
Jalan Braga,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,
Trans Studio Bandung,10:00,10:00,10:00,10:00,10:00,9:00,9:00,21:00,21:00,21:00,21:00,21:00,22:00,22:00,3:00
Cihampelas Walk,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,2:00
Saung Angklung Ujo,9:00,9:00,9:00,9:00,9:00,-,-,17:00,17:00,17:00,17:00,17:00,-,-,
Paris Van Java,10:00,10:00,10:00,10:00,10:00,10:00,10:00,22:00,22:00,22:00,22:00,22:00,23:00,23:00,3:00
Museum Asia Afrika,-,8:00,8:00,8:00,14:00,9:00,9:00,-,16:00,16:00,16:00,16:00,16:00,16:00,1:00
Rumah Mode Factory Outlet,9:30,9:30,9:30,9:30,9:30,9:00,9:00,20:30,20:30,20:30,20:30,20:30,21:30,21:00,1:00
Gedung Sate Bandung,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,
Masjid Salman ITB,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,1:00
Sari Ater Hot Spring,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,2:00
Patenggang Lake,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,2:00
Sepatu Cibaduyut,8:00,8:00,8:00,8:00,8:00,8:00,8:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,0:30
Museum Sri Baduga,-,-,-,-,-,8:00,8:00,-,-,-,-,-,16:00,16:00,2:00
Taman Lalu Lintas Ade Irma Suryani,8:00,8:00,8:00,8:00,-,8:00,8:00,15:00,15:00,15:00,15:00,-,15:00,16:00,2:00
Taman Musik Centrum,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,0:30
Teater New Majestic,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,0:30
Monumen Solidaritas Asia Afrika,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,0:30
Taman Film Pasupati,0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,3:00
Taman Cempaka (Foto),0:00,0:00,0:00,0:00,0:00,0:00,0:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,1:00
Museum Pos Indonesia Bandung,9:00,9:00,9:00,9:00,9:00,9:00,-,16:00,16:00,16:00,16:00,16:00,13:00,-,1:00
Museum Mandala Wangsit Siliwangi,8:00,8:00,8:00,8:00,8:00,8:00,8:00,13:00,13:00,13:00,13:00,10:00,12:00,13:00,1:00
Museum Nike Ardilla,11:00,11:00,11:00,11:00,11:00,11:00,11:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,1:00
Kebun Binatang Bandung,7:00,7:00,7:00,7:00,7:00,7:00,7:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,1:30
Karang Setra Waterland,8:00,8:00,8:00,8:00,8:00,8:00,8:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,
Zodra Outbound Adventure,6:00,6:00,6:00,6:00,6:00,6:00,6:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,4:00
